Goal,X,Y,C,Distance,Angle
1,12,41,9.0,13.891814136389819,0.4744514361613353
1,6,54,4.0,6.815423684555495,0.9489061410934956
1,8,50,0.0,8.4,0.8218212603970589
1,6,63,13.0,10.540042694410682,0.44102340262668716
1,11,55,5.0,11.998541578041891,0.5746282275003937
1,13,52,2.0,13.711765021323842,0.5197369931737656
1,9,24,26.0,19.3626573589474,0.18905855885445644
1,10,42,8.0,11.717081547894082,0.5552607966192705
1,15,60,10.0,17.038559211388737,0.39450787483769706
1,8,37,13.0,11.914801718870523,0.44610227378018025
1,12,42,8.0,13.63084736911099,0.4912343711700846
1,29,38,12.0,31.433143336293938,0.22482580023026133
1,6,48,2.0,6.432728814430155,1.025372627090774
1,12,47,3.0,12.75,0.5537770359226951
1,10,32,18.0,15.720687007888682,0.31768371181991284
1,7,53,3.0,7.604275113381945,0.8805236779631288
1,4,57,7.0,6.192132104533947,0.8891188201608187
1,5,59,9.0,7.860343503944341,0.6711834202118175
1,28,64,14.0,30.77612711177285,0.22651575948751368
1,8,62,12.0,11.46298390472568,0.48035749383851156
1,16,40,10.0,18.013605968822567,0.3764491646534233
1,9,50,0.0,9.45,0.7390235358439743
1,11,44,6.0,12.190672663967318,0.5587877543959542
1,10,58,8.0,11.717081547894082,0.5552607966192705
1,10,49,1.0,10.520099809412457,0.6686847657975241
1,12,34,16.0,16.33768649472746,0.34891490595427527
1,3,48,2.0,3.4077118422777475,1.647973806608485
1,11,45,5.0,11.998541578041891,0.5746282275003937
1,7,62,12.0,10.71739240673775,0.4875473980128381
1,13,43,7.0,14.388363353766126,0.4763868532411363
1,9,30,20.0,16.071792059381554,0.2752793134772887
1,15,53,3.0,15.87025519643588,0.4503268563519619
1,5,46,4.0,5.858540773947041,1.07215014489556
1,8,55,5.0,9.006802984411284,0.7371524997587747
1,10,19,31.0,22.721630663312876,0.15166686235375906
1,12,51,1.0,12.616754733290174,0.564081131761737
1,12,55,5.0,13.012397934277908,0.5341519416725077
1,10,60,10.0,12.349089035228468,0.504787111082435
1,9,41,9.0,11.114180131705622,0.5608366482848695
1,18,63,13.0,20.702958725747386,0.3216256265342819
1,13,30,20.0,18.85,0.28430431212281077
1,13,42,8.0,14.606933285258751,0.46338573138626593
1,9,61,11.0,11.850105484762572,0.49865017428260083
1,4,54,4.0,4.9396356140913875,1.2270686920947695
1,9,49,1.0,9.472328119316812,0.7362608907549515
1,5,49,1.0,5.2900850654786264,1.2079676869865599
1,8,53,3.0,8.623369411082885,0.7896535819599936
1,12,40,10.0,14.177799547179385,0.4569083224019795
1,18,58,8.0,19.60229578391266,0.35706179954140777
1,7,34,16.0,12.735089320456296,0.34697519319792164
1,9,55,5.0,9.993247720335965,0.6747302235506376
1,21,61,11.0,23.180271784429102,0.2988423003378373
1,10,54,4.0,10.817116066678771,0.6382251862369708
1,33,67,17.0,36.36928649286373,0.191345975437938
1,21,85,35.0,31.6822505513734,0.16155518749132944
1,5,45,5.0,6.174544517614234,0.999009718781405
1,8,48,2.0,8.5,0.807278894490786
1,30,64,14.0,32.788107600165034,0.2138658548659214
1,10,66,16.0,14.778700890132395,0.35868342997638314
1,8,37,13.0,11.914801718870523,0.44610227378018025
1,6,37,13.0,10.540042694410682,0.44102340262668716
1,23,60,10.0,25.009448214624808,0.2811655264820829
1,24,41,9.0,25.870108233248658,0.2741694777961256
1,26,62,12.0,28.392428568194024,0.24693951612773493
1,11,49,1.0,11.568275584545868,0.612092356355344
1,10,50,0.0,10.5,0.6708031670148004
1,27,55,5.0,28.535679420683156,0.2535383833048872
1,3,49,1.0,3.2163644072150777,1.70233357190678
1,11,55,5.0,11.998541578041891,0.5746282275003937
1,8,59,9.0,10.23633235099369,0.5922585431147527
1,9,52,2.0,9.538998899255622,0.7280729606989255
1,10,69,19.0,16.210259097250727,0.2989701177834974
1,12,55,5.0,13.012397934277908,0.5341519416725077
1,11,42,8.0,12.66658991204815,0.5218037806113346
1,18,71,21.0,23.313783476733242,0.2552731975395584
1,10,36,14.0,13.894603268895446,0.40423785554982494
1,3,57,7.0,5.533985905294664,0.9290767589440118
1,2,45,5.0,3.8694314827891705,1.468571286280629
1,26,54,4.0,27.423530042647684,0.26421562813855315
1,3,54,4.0,4.084421623681865,1.429201045967813
1,9,57,7.0,10.488326844640188,0.6213951258162871
1,6,71,21.0,15.03371211644017,0.21358878179238977
1,7,53,3.0,7.604275113381945,0.8805236779631288
1,17,56,6.0,18.271083711701394,0.38717981884058367
1,10,61,11.0,12.703247616259395,0.4790511315471671
1,3,45,5.0,4.526035793053342,1.272510127702622
1,2,48,2.0,2.4698178070456938,2.0139208395155817
1,15,41,9.0,16.80133923233502,0.4050541670933145
1,6,37,13.0,10.540042694410682,0.44102340262668716
1,7,62,12.0,10.71739240673775,0.4875473980128381
